"local","salary","department","tools","else_need","url"
"台南市安南區","月薪28,000~32,000元"," 不拘 ","Linux、Github、AJAX、C#、Java、PHP、MySQL、Oracle、HTML、JavaScript、jQuery、CSS、Sass、Node.js、ReactJS、AngularJS、VueJS贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/783pq?jobsource=jolist_c_relevance"
"台北市松山區","待遇面議"," 不拘 "," 不拘 "," 加分項目
1.	具備大型SOA架構或Microservice專案開發經驗。
2.	有 Google Cloud Platform 使用經驗。 
3.	Docker & Kubernetes使用經驗。
4.	具備購物網站/電子商務平台開發與維護經驗或有興趣者佳。 
5.	具有團隊領導主管經驗者，提升團隊綜合生產能力，培養高素質研發人才。 ","https://www.104.com.tw/job/6nqcs?jobsource=jolist_c_relevance"
"台北市內湖區","月薪32,000~55,000元"," 不拘 ","C#、PHP、Python、Unity3D贊助提升專業能力"," 1.負責，注重團隊精神，邏輯清晰，抗壓性高，能獨立思考
2.資工／電機／資管 等相關科系畢業者佳
3.熟悉C#, 有Unity3D遊戲作品者佳
4.懂 Html5/Asp.Net C#/JavaScrip 網頁程式設計者佳
5.懂 websocket/socket 者佳 ","https://www.104.com.tw/job/78h6s?jobsource=jolist_c_relevance"
"台北市信義區","月薪30,000~100,000元"," 資訊管理相關、資訊工程相關 ","Linux、Windows Server 2012、SDLC、Systems Analysis、Python、ANSI SQL、MySQL、RDBMS、JavaScript、Excel、Word贊助提升專業能力"," MCSD for .NET、Google Analytics (分析) 個人認證資格 ","https://www.104.com.tw/job/5x0lo?jobsource=jolist_c_relevance"
"台中市南屯區","待遇面議"," 不拘 "," 不拘 "," 1.熟悉HTTP、WebSocket、TCP/IP網路運作以及協定資料流程的封包與解包。
2.熟悉任一物件導向程式語言(Java,Dot.net,C++ 等... 以Golang為佳)。
3.具備多執行緒開發經驗 。
4.熟悉資料結構演算法，具備物件導向等基礎程式能力 。

【綜合加分】
1. 曾使用Golang進行開發。
2. 熟悉 RDBMS/NoSQL ","https://www.104.com.tw/job/79gm6?jobsource=jolist_c_relevance"
"台中市西屯區","月薪26,000~45,000元"," 資訊工程相關、數理統計相關、其他相關科系 ","Python贊助提升專業能力"," 社會新鮮人或應屆畢業生皆可。
如有相關作品請一併提供。 ","https://www.104.com.tw/job/4cifp?jobsource=jolist_c_relevance"
"台中市南屯區","月薪32,000~40,000元"," 不拘 ","Java、Spring、MS SQL、MySQL、HTML、JavaScript、XML Web services、jQuery、Angular贊助提升專業能力"," 請準備履歷、作品檔案、作品網址等文件資訊 ","https://www.104.com.tw/job/70m2j?jobsource=jolist_c_relevance"
"台中市西屯區","待遇面議"," 不拘 "," 不拘 "," 加分項目
1. 具備大型SOA架構或Microservice專案開發經驗。
2. 有 Google Cloud Platform 使用經驗。
3. Docker & Kubernetes使用經驗。
4. 具備購物網站/電子商務平台開發與維護經驗或有興趣者佳。
5. 具有團隊領導主管經驗者，提升團隊綜合生產能力，培養高素質研發人才。
 ","https://www.104.com.tw/job/7a9d3?jobsource=jolist_c_relevance"
"台中市西屯區","年薪600,000~800,000元"," 資訊工程相關 ","Git、ASP.NET、C#贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/6wzz1?jobsource=jolist_c_relevance"
"台北市內湖區","月薪60,000元以上"," 不拘 ","C、C++、Java、Python、Ruby贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/7aecq?jobsource=jolist_c_relevance"
"台北市大安區","月薪35,000~60,000元"," 不拘 "," 不拘 "," Qualification
　1.Familiar with JavaScript
　2.Familiar with MySQL.
　3.Familiar with RESTful API.

Nice to have
　1.Familiar with Node.js, and express.js.
　2.Familiar with Redis.
　3.Familiar with git.
 ","https://www.104.com.tw/job/73zys?jobsource=jolist_c_relevance"
"台中市北區","月薪50,000~120,000元"," 不拘 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/6izvs?jobsource=jolist_c_relevance"
"高雄市前鎮區","月薪30,000~50,000元"," 不拘 ","ASP.NET、C#、Visual Basic、Visual Basic .net、MS SQL、HTML、JavaScript、CSS贊助提升專業能力"," 輕型機車、普通小型車 ","https://www.104.com.tw/job/74v0z?jobsource=jolist_c_relevance"
"台北市大同區","月薪40,000~80,000元"," 不拘 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/64v54?jobsource=jolist_c_relevance"
"台中市南屯區","月薪45,000元以上"," 不拘 ","C++、Java、PHP、Python、JavaScript、CSS贊助提升專業能力"," ★本公司聘任之正職人員得享有以下福利
【獎金】不怕員工拿，等你來挑戰。
■ 月獎金、季獎金、組長獎金
■ 年終獎金
■ 證照考取獎金
【福利】有更好的福利，歡迎加入提出。
■ 婚喪喜慶、生育、傷病、急難救助等。
■ 定期員工聚餐、員工出遊、慶生會
■ 端午節、中秋節禮金、禮品
■ 咖啡無限暢飲、餅乾零食
■ 員工團體保險
【教育訓練機制】
■ 員工進修教育獎勵補助。
■ 新人訓練：協助新人瞭解公司、瞭解工作進入狀況。
■ 職能訓練：引導同仁學習工作相關知識與技能，發展職涯學習藍圖。
【休假】
■ 周休二日 ","https://www.104.com.tw/job/75qz7?jobsource=jolist_c_relevance"
"台北市大同區","月薪40,000~80,000元"," 不拘 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/75uz4?jobsource=jolist_c_relevance"
"台北市中山區","月薪50,000~60,000元"," 不拘 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/6deqj?jobsource=jolist_c_relevance"
