"local","salary","department","tools","else_need","url"
"台北市中山區","月薪40,000~70,000元"," 不拘 "," 不拘 "," ※彈性上班時間08:00~10:00 

-------------------------------------------------------------------
根據個人資料保護法第8條之規定告知如下： 
‧ (一)非公務機關名稱：和運租車股份有限公司。 
‧ (二)蒐集之目的：人事管理。 
‧ (三)個人資料之類別：識別類、特徵類、社會情況、教育、技術或其他專業、受僱情形。 
‧ (四)個人資料利用之期間：自本人提供之日起至本人主動請求和運租車刪除、停止處理或利用之日止。 
‧ (五)個人資料利用之對象：和運租車股份有限公司。 
‧ (六)個人資料利用之地區：和運租車股份有限公司所在地。 
‧ (七)個人資料利用之方法：網際網路、電子郵件、書面及傳真。 
‧ (八)本人得於非假日電洽和運租車股份有限公司，進行查詢、閱覽、下載複製本、補充或更正履歷表內容或請求停止蒐集、處理、利用或刪除履歷表部分或全部內容。 
‧ (九)本人得自由選擇提供個人資料之範圍及內容，但本人瞭解不提供將可能因和和運租車股份有限公司無法了解本人是否符合和運租車股份有限公司徵才條件而影響本人至和運租車股份有限公司之就業機會。 ","https://www.104.com.tw/job/793hc?jobsource=jolist_a_relevance"
"台北市信義區","月薪35,000~55,000元"," 不拘 ","AJAX、ASP.NET、C#、PHP、Visual Studio .net、MS SQL、MySQL、HTML、JavaScript、jQuery贊助提升專業能力"," 1. 對網站新技術有熱忱
2. 良好的溝通能力
3. 有責任感、可獨立作業、積極主動
4. 有相關經驗者尤佳 ","https://www.104.com.tw/job/74hy6?jobsource=jolist_a_relevance"
"桃園市桃園區","月薪50,000元以上"," 資訊工程相關、其他數學及電算機科學相關 ","ASP.NET、C#、Python、MS SQL、Oracle、PostgreSQL贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/7axth?jobsource=jolist_a_relevance"
"台北市大安區","年薪600,000~1,000,000元"," 資訊工程相關 ","Git贊助提升專業能力"," 
【條件需求】
   - 1 年以上於 JSON 等 Web Service 及串接 Web API 開發經驗
   - 了解 .Net Core 及 VS Code 或 Visual Studio 等相關工具
   - 了解網路通信機制、多執行緒處理。
   - 了解MVC架構
   - 具有 Docker、 Git 使用經驗
   - 有良好的代碼習慣：結構清晰、命名規範、邏輯性強及代碼乾淨
   - 具備閱讀英文技術文件能力
   - 良好的團隊合作精神，熱衷接受和掌握新技術

【如果您還有這些，我們一定優先考慮】
   - 了解 Angular / TypeScript 、具備前端開發經驗
   - Microservices 、 Domain Driven Design 開發設計經驗
   - 具有 Azure 、 AWS 使用經驗
   - 了解單元測試


Junior Backend Developer (.NET Core) 後端工程師
★★★ 僅受理以下應徵方式 ★★★
請透過此連結投遞履歷 : https://authme.teamdoor.io/s/HVTAG7

AuthMe 求才若渴，若您身懷絕技，歡迎來討論期望待遇！ ","https://www.104.com.tw/job/7aomw?jobsource=jolist_a_relevance"
"台北市松山區","月薪40,000~120,000元"," 不拘 ","Git、PHP、Python、Go、MySQL、AWS、HTML、JavaScript、CSS贊助提升專業能力"," 1. CI/CD部屬
2. SWOOLE

 ","https://www.104.com.tw/job/7ar1r?jobsource=jolist_a_relevance"
"台中市西區","年薪800,000~1,200,000元"," 不拘 ","Linux、PHP、MySQL贊助提升專業能力"," 能力資深與經驗優異者，薪資可再面議，歡迎前來爭取更高薪! ","https://www.104.com.tw/job/4ujgt?jobsource=jolist_a_relevance"
"台北市信義區","月薪40,000~70,000元"," 不拘 ","AJAX、PHP、Oracle、JavaScript、jQuery、CSS、VueJS贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/77d3f?jobsource=jolist_a_relevance"
"台北市信義區","月薪60,000~100,000元"," 不拘 "," 不拘 "," 希望您熟悉以下的能力：
● git/github 使用經驗
● AWS 服務，主要包含 EC2、RDS、DyanmoDB、Lambda、S3...
● 資料庫 (NoSQL & Relational Database) 使用
● Node.js


加分條件：
● 完整網站開發經驗
● 過去產品或是 github，任何可以展現你能力的作品
● 良好的英語能力
● 自我管理與學習能力
● 寫過測試 (unit test, integration test)
● 熟悉 CI/CD 流程
● 熟悉 Scrum 流程者 ","https://www.104.com.tw/job/6asat?jobsource=jolist_a_relevance"
"桃園市楊梅區","月薪32,000~40,000元"," 不拘 ","C#、MySQL贊助提升專業能力"," 普通小型車 ","https://www.104.com.tw/job/6jvbq?jobsource=jolist_a_relevance"
"台北市信義區","月薪30,000~100,000元"," 資訊管理相關、資訊工程相關 ","Linux、Windows Server 2012、SDLC、Systems Analysis、Python、ANSI SQL、MySQL、RDBMS、JavaScript、Excel、Word贊助提升專業能力"," MCSD for .NET、Google Analytics (分析) 個人認證資格 ","https://www.104.com.tw/job/5x0lo?jobsource=jolist_a_relevance"
